192.168.35.129<-->19/Oct/2016:14:59:14<-->GET<-->/<-->HTTP/1.1<-->200<-->9799<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:14:59:14<-->GET<-->/<-->HTTP/1.1<-->200<-->9800<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:14:59:15<-->GET<-->/web-determinations/?CookieSet=true<-->HTTP/1.1<-->404<-->544<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:14:59:14<-->GET<-->/<-->HTTP/1.1<-->200<-->9799<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:14:59:14<-->GET<-->/<-->HTTP/1.1<-->200<-->9799<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:14:59:14<-->GET<-->/<-->HTTP/1.1<-->200<-->9799<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:14:59:15<-->GET<-->/courier/web/1000@/wmLogin.html<-->HTTP/1.1<-->404<-->555<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:14:59:15<-->GET<-->/_vti_bin/fpcount.exe<-->HTTP/1.1<-->404<-->545<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:14:59:15<-->GET<-->/_vti_bin/fpcount.exe<-->HTTP/1.1<-->404<-->545<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:14:59:15<-->GET<-->/<-->HTTP/1.1<-->200<-->9799<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:14:59:15<-->GET<-->/<-->HTTP/1.1<-->200<-->9799<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:14:59:16<-->GET<-->/netflow/html/aboutus.jsp<-->HTTP/1.1<-->404<-->549<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:14:59:15<-->GET<-->/<-->HTTP/1.1<-->200<-->9799<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:14:59:16<-->GET<-->/Nzyy5O86.ashx<-->HTTP/1.1<-->404<-->538<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:14:59:16<-->GET<-->/QnwNjJj8.aspx<-->HTTP/1.1<-->404<-->538<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:14:59:16<-->GET<-->/Eo2LyHOP.asmx<-->HTTP/1.1<-->404<-->538<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:14:59:16<-->GET<-->/vxjOudJo.rem<-->HTTP/1.1<-->404<-->537<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:14:59:16<-->GET<-->/_5mFzy3v.soap<-->HTTP/1.1<-->404<-->538<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:14:59:15<-->GET<-->/<-->HTTP/1.1<-->200<-->9799<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
192.168.35.129<-->19/Oct/2016:14:59:16<-->GET<-->/login<-->HTTP/1.1<-->404<-->530<-->-<-->Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
